,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
10992,WanderJaunt | Marston | 1BR | Riverside,78741,0,89,1,1,270
10993,WanderJaunt | Beasley | 1BR | Riverside,78741,0,86,1,1,270
10994,Bargain bedroom (gated community) 15 min dtown,78754,1,32,2,0,13
10995,A home you will love | 1 BR in Austin,78702,0,165,30,0,365
10996,Clean Apt | 3BR in Austin,78745,0,193,30,0,365
10997,Homey home | 1BR in Austin,78751,0,169,30,0,365
10998,Austin Texas 1 bedroom,78701,0,219,2,0,83
10999,Entire Residential Home. 15 min to DT/Domain. Gym!,78754,0,120,2,1,151
11000,Lovely 2 Bedroom Getaway N /The Domain & Kalahari,78728,0,139,2,1,336
11001,All-inclusive apartment home | 1BR in Austin,78758,0,192,31,0,365
11002,The Maple House - perfect work from home retreat,78759,0,174,4,2,144
11003,Beautiful Entire East Austin Home Near Rainey,78702,0,900,3,0,113
11004,Crosby - East Austin Condo!!!,78702,0,144,1,0,365
11005,Austin 2 bedroom,78701,0,363,2,0,44
11006,Stylish 4-Bdrm Home w/ deck. 11 min to Downtown,78744,0,124,1,9,78
11007,Arboretum family holiday,78759,0,108,1,1,158
11008,Vintage RV Glamping Experience,78744,0,74,1,9,331
11009,Classic 1/1 garage apt * Central Austin ABP,78703,0,125,30,0,364
11010,"Uniquely Austin, two RV’s w hot tub, vibe for days",78704,0,136,3,4,302
11011,Comanche Overlook - Stunning Lake Travis Villa,78732,0,495,30,0,332
11012,Lovely N. Austin 1-BD serviced apt w/ pool & gym,78717,0,65,3,0,37
11013,All-inclusive apartment home | 1BR in Austin,78758,0,191,31,0,365
11014,Stylish Bungalow w/ Amazing Yard - 2 miles to DT,78722,0,193,3,3,38
11015,Comfy 3 BD-- Austin Apt.,78705,0,145,2,4,75
11016,Sparkling clean bedroom with private bath,78748,1,59,1,2,364
11017,Modern + Lively  Home in Hip East Austin,78702,0,171,2,2,166
11018,Cozy Private Bedroom in NE Austin!,78753,1,37,2,8,253
11019,✪2/2 Central Austin Escape✪4mi to Downtown✪Parking,78751,0,92,2,5,336
11020,Cheerful 1-bedroom brand new beautiful home/pool 1,78754,1,38,1,0,53
11021,✦Lavish 3BR Getaway ✦6 mi to Downtown ✦Pool Table,78745,0,316,2,1,335
11022,Modern 1 BR with great amenities near downtown.,78702,0,132,2,1,70
11023,Luxury Loft in exclusive Austin neighborhood,78723,0,189,3,1,227
11024,Fabulous mid-century modern house near downtown,78746,0,856,2,2,35
11025,Charming 3 Bedroom Home in North Austin,78750,0,195,6,0,342
11026,House Two Miles East of Downtown with private deck,78721,0,124,1,3,339
11027,The Purple Room near Downtown & ✈️,78741,1,39,1,2,0
11028,Nature meets charm at peaceful east side 3 bdrm,78721,0,200,30,1,268
11029,Luxury Lakehouse w/ Jacuzzi & Game Room,78734,0,389,2,0,352
11030,New Listing! Intro Pricing! Zilker/ S. Lamar Condo,78704,0,99,1,0,85
11031,"Ring in the New Year in Austin, TX/1 BR Luxury STE",78701,0,349,2,0,41
11032,1/1 condo 5 mins from downtown & walk to lake,78741,0,53,21,0,265
11033,Cheerful Private bedroom with shared bath.,78745,1,34,1,4,151
11034,"Lovely and spacious 2-bed, 2-bath apartment",78750,0,125,1,0,310
11035,Serene getaway,78759,0,102,1,1,159
11036,Retreat to the Arboretum,78759,0,106,1,2,180
11037,Arboretum Queen Suite,78759,1,62,1,0,345
11038,Your Austin Room Away From Home,78758,1,40,1,0,149
11039,2 BD Apt-- Austin Oasis,78705,0,91,2,2,74
11040,KINGBED Sophisticated&Modern APT 3MLfrmAIRP&5frmDT,78741,0,153,2,0,89
11041,Brand New 3bd•Entire place•Close to everything!!,78728,0,267,2,1,298
11042,Cozy apartment for you | 1BR in Austin,78758,0,170,30,0,365
11043,Private Room in our South Austin family home,78745,1,85,1,0,180
11044,Luxurious modern downtown unit next to hot spots!,78701,0,101,2,2,63
11045,Cozy One Bedroom Near SouthPark Meadows,78745,0,61,1,0,356
11046,A Home of Your Own,78733,0,125,2,1,236
11047,Arboretum King Suite,78759,1,56,1,1,343
11048,Comfy 2BD Central Austin,78705,0,86,2,1,73
11049,Modern Resort Style Living In SoCo,78745,0,140,2,0,169
11050,Club Wyndham Condo in the heart of downtown Austin,78701,0,200,2,1,89
11051,Pop art inspired home with hot tub near domain.,78731,0,650,2,0,362
11052,Lovely 1-Bedroom Apartment 10 Minutes from Domain,78727,0,68,7,0,66
11053,Everything you need | 1 BR in Austin,78704,0,173,30,0,365
11054,2022 Beautiful Jayco Jay Flight 264BH Near ATX,78703,0,90,2,0,365
11055,Luxury 1 Bed w/ City Views on Rainey St,78701,0,135,3,1,6
11056,North Austin| charming 2B2B home|,78727,0,162,5,0,350
11057,Clean apt just for you | 2BR in Austin,78758,0,265,30,0,365
11058,Relax in your own apt | 1BR in Austin,78754,0,144,30,0,365
11059,Minimalist 1BR Apartment w/balcony (new listing),78759,0,72,3,0,20
11060,"West campus room with backyard, free parking",78705,1,50,1,0,315
11061,Rockstar Lounge,78705,0,108,2,1,362
11062,Beautiful 2b/2b apartment with fenced yard,78736,0,220,3,0,358
11063,A place to call home | 2BR in Austin,78746,0,221,31,0,365
11064,All-inclusive apartment home | 1BR in Austin,78758,0,209,31,0,365
11065,Large Apartment DTWN | Walk to 6th Street & Rainey,78702,0,214,1,1,78
11066,New!-Bungalow Retreat- Eastside Downtown-Walkable,78702,0,116,1,3,175
11067,Sweet 3/2 Home walk to Rainey & Convention Center,78702,0,220,1,0,145
11068,Lake House Resort Type Estate 2 Acres,78734,0,5000,1,0,365
11069,Live + Work + Stay + Easy | 2BR in Austin,78701,0,290,30,0,365
11070,Bright and sunny private room close to Lake,78730,1,52,1,2,306
11071,Hidden Gem! Privacy and Tranquility,78759,1,110,3,0,351
11072,Homey home | 2BR in Austin,78751,0,198,30,0,365
11073,Beautiful Jayco Jay Flight 174bh,78703,0,64,2,0,365
11074,2023 Beautiful Jayco Jay Flight 264BH Near ATX,78703,0,90,2,0,356
11075,Casa Sunshine | Bright Two-Bedroom Bungalow,78756,0,314,1,0,37
11076,"Delightful Tiny Home in Austin, TX!",78724,0,99,2,4,353
11077,"Clean, cozy place of your own | 2BR in Austin",78735,0,172,90,0,365
11078,Homey home | 1BR in Austin,78751,0,167,30,0,365
11079,one-of-a-kind 2 bed/2 ba east austin home,78702,0,180,30,0,269
11080,Cozy Space w/ 65” TV (Netflix) 1B,78753,1,40,1,0,257
11081,Little Cabin On The Creek,78738,0,184,2,4,11
11082,Condo 5 minutes from downtown.,78705,0,69,2,2,5
11083,Stylish 1940's Boho Bungalow in Quiet Location of Hyde Park,78751,0,80,1,1,347
11084,Homey home | 1BR in Austin,78751,0,169,30,0,365
11085,Modern/Luxury North Austin New Build,78753,0,175,30,0,362
11086,Austin Texas 1 Bedroom,78701,0,232,2,0,76
11087,New! 'Machete Place'- 4 BR 2 BA Nice Spacious Home. Pet Friendly. Great Yard. Fully Equipped Kitchen,78729,0,242,1,2,128
11088,Cozy 1 Bedroom Rental,78729,0,61,2,3,53
11089,Cheerful 1 bedroom and one bathroom,78752,1,60,1,2,344
11090,Landing | Modern Apartment with Amazing Amenities (ID319993),78741,0,102,30,0,312
11091,1 BR Suite Club Wyndham Downtown Austin,78701,0,220,2,0,20
11092,Rustic Cabin on Slaughter Creek,78748,0,320,1,0,224
11093,The Perfect Retreat BRAND NEW LISTING!,78758,0,158,1,1,81
11094,Gorgeous Cottage Top Location LGBT Friendly,78703,0,191,30,0,123
11095,Live + Work + Stay + Easy | 1BR in Austin,78701,0,196,30,0,365
11096,Relax in your own apt | 1BR in Austin,78754,0,148,30,0,365
11097,New Listing! | Downtown ATX | Near 6th & Rainey St,78702,0,129,27,0,13
11098,Stylish 2-bedroom home. Steps to yoga & coffee,78757,0,190,2,0,356
11099,"Ideal Market District 2BR, w/ Gym, Pool, W/D by Blueground",78703,0,179,31,0,346
11100,2021 DellaTerra w/full hook up near Cota Racetrack,78747,0,150,1,1,360
11101,"Ideal Long Term- Oasis w/ Pool, Gym, Detach Office",78745,0,159,29,0,269
11102,LOVELY BEDROOM IN SHARED APARTMENT W/POOL AND GYM,78724,1,57,2,0,89
11103,Luxury Apt in South Austin near Downtown and Lake,78749,0,95,1,1,91
11104,Stay in a place of your own | 1BR in Austin,78745,0,169,30,0,365
11105,"Private Heated Pool and Jacuzzi, Pool House, Minutes from Downtown!",78745,0,864,3,2,281
11106,LOVELY 2 BEDROOM 2 BATHROOM RENTAL NEAR DOWNTOWN,78754,0,54,1,0,101
11107,Austinite Nest in the heart of Crestview,78757,1,144,1,3,84
11108,ALS | 12100 | 2B - 2B With Inside Private Garage,78758,0,100,2,1,71
11109,The Austin LoveStream! Walk to it all!,78704,0,222,2,2,144
11110,"Private Modern KING Master Bedroom A, Free Parking",78723,1,61,1,0,48
11111,Modern Townhouse w/ Fast Internet & Free Parking,78723,0,246,2,0,123
11112,Peaceful and beautiful place/ {2B-2B} /,78752,0,110,5,0,179
11113,BACK TO THE FUTURE   75th anniversary  Air Stream,78734,0,75,1,4,128
11114,Ultra-Modern Luxury Home,78704,0,314,1,1,66
11115,Cheerful 2 bedroom home in the heart of Zilker,78704,0,280,1,0,365
11116,Warm and cheerful home in the heart of Zilker,78704,0,193,2,0,277
11117,King Bed w/ Luxury Bathroom and Private Parking,78752,1,80,2,0,303
11118,Entire Upstairs near Austin DT&Airport/ 1Bd+1 Lvng,78724,1,75,1,4,356
11119,"Cozy Modern Condo, washer, queen bed, gr8 location",78757,0,86,30,0,269
11120,Lovely ATX Luxury Getaway n/The Domain & Kalahari,78728,0,121,2,2,88
11121,"Ideal Bouldin Creek Studio w/ Gym, Pool, W/D by Blueground",78704,0,138,31,0,312
11122,"Lovely Bouldin Creek 1BR w/ Gym, Pool, W/D by Blueground",78704,0,162,31,0,308
11123,Loopring,78752,0,160,7,0,349
11124,"Sunny Downtown Studio w/ Gym & W/D, walk to 6th St bars, by Blueground",78701,0,136,31,0,333
11125,Peaceful 2 BD Austin Apt.!!,78705,0,91,2,0,75
11126,Walk to South Congress from the Peace Condo!,78704,0,152,1,2,362
11127,Peaceful Zen bedroom in quiet home.,78732,1,36,2,1,219
11128,Upscale apartment home | 2BR in Austin,78758,0,193,90,0,365
11129,"2 bedroom, 1 bath, 8 minutes from downtown",78705,0,80,30,0,279
11130,Austin Texas 1 Bedroom,78701,0,153,2,0,72
11131,Cozy Private Bedroom in a New East Austin House,78702,1,40,5,0,26
11132,Twisted Luxury Corporate Apt,78751,0,145,1,0,365
11133,Stay in a place of your own | 2BR in Austin,78745,0,171,30,0,365
11134,"Cozy 1BR at the DOMAIN W/Pool, FREE Parking, Gym",78758,0,130,2,0,169
11135,3 BR house in gated community close to downtown,78741,0,129,2,0,121
11136,"Pet friendly, private room with bath. We have buns",78728,1,75,30,0,85
11137,Entire 2nd floor in Beautiful home,78747,0,89,1,1,303
11138,Homey home | 2 BR in Austin,78751,0,207,30,0,365
11139,"Modern 2Br, 1Ba Apt.  7 mins frm ATX. Room for 6.",78723,0,122,2,1,364
11140,Wild Basin - 10 Min to DT/Heated Pool/Sport Court+,78746,0,1003,3,1,344
11141,East Side Hip Getaway | Spacious Patio,78721,0,153,1,4,17
11142,Peaceful 3-bd home in the heart of East Austin,78702,0,217,4,0,8
11143,North Austin Oasis near Domain 20 Min to DT,78729,0,686,2,3,337
11144,A place to call home | 1BR in Austin,78746,0,186,31,0,365
11145,Locale | South Congress | Hip 2BR Apartment,78704,0,183,2,0,35
11146,Cozy 1 bedroom WHOLE APARTMENT near Town Lake.,78741,0,70,1,1,314
11147,Eastside Gold,78702,0,74,1,1,255
11148,Stay in a place of your own | 1BR in Austin,78745,0,149,30,0,365
11149,Hip Austin Apartment 10 Minutes from Downtown,78751,0,46,1,0,224
11150,Stylish private guest house with pool/hot tub,78704,0,199,2,0,66
11151,Exquisite 2BR 2BA APT 7 min DTATX,78741,0,65,2,1,11
11152,Homey home | 1BR in Austin,78756,0,171,30,0,365
11153,Cheerful East Austin Bungalow with Large Yard,78741,0,160,1,0,29
11154,Beautiful and Spacious 4 Bedroom House,78723,0,225,1,2,359
11155,A place to call home | 2BR in Austin,78746,0,217,31,0,365
11156,A home you will love | 2BR in Austin,78702,0,212,30,0,365
11157,Bouldin Creek Gem with Backyard Dining + Walk to South Congress Fun,78704,0,165,1,2,340
11158,Palm Springs Modern w/ Views Minutes from DT,78746,0,2800,3,0,364
11159,Upscale apartment home | 1 BR in Austin,78758,0,161,90,0,365
11160,Relax in your own apt | 1BR in Austin,78754,0,140,30,0,365
11161,Relax in your own apt | 1BR in Austin,78754,0,151,30,0,365
11162,Prime downtown location. Walk to Zilker!,78704,0,175,1,0,256
11163,All-inclusive apartment home | 2BR in Austin,78758,0,239,31,0,365
11164,Room in South Austin 2,78744,1,40,1,1,87
11165,"King Beds Suite, Fast WiFi, 10 Min to Downtown | 2BR",78741,0,155,1,7,354
11166,"Airy King Beds Suite, Fast WiFi, Wash+Dry, 8 Min to DT | 2BR",78741,0,154,1,0,358
11167,Spacious & Modern 3 BR / 2.5 BA Austin home,78704,0,307,3,0,115
11168,Modern 2 BD-- Central Austin,78705,0,91,2,0,75
11169,Stay in a place of your own | 1BR in Austin,78745,0,152,30,0,365
11170,Upscale apartment home | 1 BR in Austin,78758,0,163,90,0,365
11171,Sydney - South Austin Charmer!!,78745,0,190,1,0,361
11172,Brand New Boho Chic 2021 Coachmen Freelander,78736,0,349,3,0,179
11173,A place to call home | 2BR in Austin,78746,0,221,31,0,365
11174,Modern Condo w/ Pool 7min from Airport,78741,0,100,2,2,136
11175,Perfect local apt walkable to Downtown & Town Lake,78741,0,79,2,2,87
11176,"Entire home in south Austin, close to SoCo & DT",78745,0,148,3,0,269
11177,Cozy apartment for you | 2BR in Austin,78758,0,194,30,0,365
11178,River side 1 bedroom cozy apartment,78741,0,120,2,0,349
11179,"Clean, cozy place of your own | 3BR in Austin",78735,0,218,90,0,365
11180,"Cozy Xmas new build home, 20 mins from downtown!",78724,0,152,2,0,344
11181,2 Bedrooms in Modern Tech Home close to Downtown,78705,1,169,3,0,56
11182,"Super fun, stylish, and spacious Austin spot!",78704,0,268,1,2,11
11183,S Lamar 1/1 8 minutes to DT ATX w/ washer/dryer,78704,0,75,7,0,63
11184,Travis Heights Bungalow with 2 bedrooms + office,78704,0,451,2,0,28
11185,Unfurnished 2 bedroom ready for you!,78726,0,50,1,1,365
11186,Austenite Modern 1-Bedroom on South Congress Ave.,78745,0,99,1,0,364
11187,South Congress Bunk House,78704,0,248,2,0,363
11188,"Best Location, Fast WiFi, Spacious Eastside Pool",78702,0,150,28,0,313
11189,Freshly Renovated Home next to Domain,78727,0,225,1,1,75
11190,"Clean, cozy place of your own | 1BR in Austin",78735,0,165,90,0,365
11191,"Clean, cozy place of your own | 1BR in Austin",78735,0,165,90,0,365
11192,Condo on Rainey Street. Rooftop pool and gym!,78701,0,257,3,2,105
11193,Room with High Ceilings WFH-Ready,78729,1,30,30,0,302
11194,"RV Dreaming: Dripping Springs, 2 bedrooms/2 baths",78737,0,100,2,0,40
11195,Basic Room with Desk and Chair,78729,1,32,20,0,302
11196,A home you will love | 2BR in Austin,78702,0,215,30,0,365
11197,Cool Contemporary off South Congress w/work space,78704,0,131,2,1,329
11198,Sunny 2 Bedroom Home in Windsor Park,78723,0,125,1,0,79
11199,Barton Hills 3/2 ON the Greenbelt.,78704,0,299,4,0,341
11200,Upscale apartment home | 1 BR in Austin,78758,0,160,90,0,365
11201,Clean apt just for you | 1BR in Austin,78758,0,202,30,0,365
11202,Clean apt just for you | 1BR in Austin,78758,0,193,30,0,365
11203,A relaxing One bedroom view blocks from trail/Lake,78734,1,50,1,0,313
11204,Stay in a place of your own | 1BR in Austin,78745,0,151,30,0,365
11205,Stay in a place of your own | 2BR in Austin,78745,0,171,30,0,365
11206,Relax in your own apt | 1BR in Austin,78754,0,151,30,0,365
11207,S. Congress one bedroom steps away from pool,78704,0,120,1,2,360
11208,Affordable Living,78752,0,100,3,0,352
11209,Modern Apt  in Austin’s prime location!,78701,0,155,2,2,127
11210,Spacious Mueller Flat washer&dryer inside & more,78723,0,66,7,0,68
11211,"Zilker House (Monthly Rental, 4 Desks, Fast WiFi)",78704,0,240,30,0,330
11212,Relax South Central,78741,0,93,2,0,296
11213,N.Lamar: Private Room 2,78751,1,41,30,0,364
11214,Spacious Private Apartment!,78704,0,81,2,0,75
11215,Welcoming 2-bedroom residential home in downtown.,78721,0,135,2,0,159
11216,A place to call home | 2BR in Austin,78746,0,221,31,0,365
11217,2 BR home in HEART of SOCO! 1 block to the action!,78704,0,320,3,0,333
11218,Spacious cozy home near Domain and Q2 stadium,78758,0,480,3,0,365
11219,"The Price is Right, 10 min to downtown Austin",78741,0,86,1,0,156
11220,Lovely 1-bedroom rental w/ pool and exercise room,78752,1,38,1,0,346
11221,East side fresh boho getaway | Private & spacious,78721,0,192,1,0,118
11222,South ATX-20 min to DT- 3 min to Armadillo Den,78748,0,130,1,1,77
11223,Cozy and Eclectic Bungalow in Central Austin,78751,0,411,2,0,11
11224,"Clean, cozy place of your own | 1BR in Austin",78735,0,165,90,0,365
11225,One bedroom in large house with private bath.,78747,1,35,1,0,20
11226,Cozy Poolside Suite at The Treetop Retreat,78733,1,149,1,0,364
11227,"Lakeview Home - Internet, AC, Dog-Friendly, Water View From Porch & Full Kitchen",78734,0,146,1,2,365
11228,"Perfect Modern, Cozy 1B Gem near Downtown | Fast WiFi | Pool",78756,0,69,1,0,357
11229,"Charming Austin bungalow, close to everything",78752,0,96,30,0,256
11230,"Comfy room (B) in brand new, LGBTQ+ friendly home!",78752,1,75,2,0,111
11231,Fahrenheit 2,78741,0,110,1,0,84
11232,Versailles 2,78741,0,100,1,0,345
11233,Pearl 2,78741,0,120,1,0,84
11234,Paradise 2,78741,0,129,1,0,50
11235,Cozy Modern 1B1B for Extended Stay | Fast WiFi | Washer-Dryer In Unit,78741,0,93,2,3,363
11236,"Central Extended Stay, Fast WiFi + King Beds | 2BR",78756,0,107,1,1,364
11237,"King Beds Extended Stay, 5 Min to Downtown | 2BR",78741,0,117,1,1,274
11238,Downtown Lakeside Retreat,78741,0,150,2,0,34
11239,Beautiful Private Master Bedroom + Private Bath,78704,1,59,5,4,20
11240,Landing | Modern Apartment with Amazing Amenities (ID442348),78704,0,129,30,0,347
11241,Plush King Bdrm w/ En Suite Private Bathroom!,78741,1,66,1,0,8
11242,2-BED CONDO - HEART OF DOWNTOWN,78701,0,190,1,0,168
11243,Central Austin Spacious Condo!!,78705,0,119,2,0,65
11244,Private 2 BD Apt!,78705,0,118,2,0,68
11245,Austin 3 BD-- Central Austin,78705,0,125,2,0,72
11246,(NEW) Historic Home in Unbeatable Location,78702,0,786,2,0,180
11247,Beautiful Large Suite with a Queen size bed,78725,1,51,1,0,364
11248,3 Bedrooms in Modern Tech Home close to Downtown,78705,1,270,1,0,68
11249,Skyline Views & Rooftop - Chic Downtown Home,78702,0,191,3,0,84
11250,Sparkling Marseilles Private Room in Upscale Area,78759,1,100,5,0,365
11251,Domains Hidden Gem ATX B,78758,0,141,1,0,351
11252,Luxury apartment for 2 w/pool and gym East Austin,78724,0,100,5,0,322
11253,Cozy modern abode on the banks of Colorado River,78742,0,257,2,0,89
11254,A place to call home | 2BR in Austin,78746,0,221,31,0,365
11255,A home you will love | 2BR in Austin,78702,0,213,30,0,365
11256,A home you will love | 2BR in Austin,78702,0,216,30,0,365
11257,SoCo Ranch,78704,0,1295,3,0,288
11258,BR- Study & Have Peace & Quite,78748,1,58,2,0,160
11259,New Year's in AUSTIN!!!! -1 BR,78701,0,210,2,0,13
11260,"NEW Listing! The Reserve: Private Pool, outdoor entertainment area, master downstairs, Wifi, Parking",78734,0,961,2,0,351
11261,South Austin Experience,78745,0,166,1,1,71
11262,Clean Apt | 2BR in Austin,78745,0,168,30,0,365
11263,Upscale apartment home | 1 BR in Austin,78758,0,161,90,0,365
11264,BEAUTIFUL room with private bathroom,78725,1,35,1,3,307
11265,Austin Oasis 18 min to DT 7 min to The Domain,78729,0,304,6,0,89
11266,Western Industrial Downtown Apartment,78701,0,134,2,0,70
11267,"Clean bedroom close to Tesla, airport, & downtown",78744,1,50,6,0,83
11268,All-inclusive apartment home | 1BR in Austin,78758,0,193,31,0,365
11269,2 lovely rooms @ the Domain,78758,0,146,3,0,41
11270,"Urban Condo in South Congress, Garage, Pool + More",78745,0,96,7,0,84
11271,Peaceful place {1B-1B},78758,0,80,7,0,365
11272,Dos Casas - a charming bungalow & separate studio.,78704,0,250,30,0,52
11273,Peaceful place [2B/2B],78741,0,115,7,0,365
11274,Peaceful Place [1B-1B],78717,0,70,20,0,365
11275,Peaceful and Beautiful place D{1B-1B},78758,0,65,7,0,352
11276,"Cheerful 3 Cottage cluster, 3 bth, 3 kitch, 5 beds",78737,0,406,2,0,346
11277,Clean Apt | 1BR in Austin,78745,0,140,30,0,365
11278,Franklin Park Getaway- 10 min to DT/Airport-Pets!,78744,0,306,2,0,40
11279,Modern Renovation House,78727,0,231,1,0,362
11280,Dawson by AvantStay | Serene Austin Home set Amongst nature w/ Pool & Close to Lake Travis,78732,0,324,2,0,356
11281,Live + Work + Stay + Easy | 2BR in Austin,78704,0,211,30,0,365
11282,Landing | Modern Apartment with Amazing Amenities (ID243223),78723,0,103,30,0,341
11283,Peaceful Place [2B-2B],78741,0,107,7,0,364
11284,Bright and cozy East Austin two bedroom,78723,0,200,1,0,125
11285,Clean apt just for you | 2BR in Austin,78758,0,263,30,0,365
11286,Peaceful place| {2B-2B},78752,0,110,5,0,365
11287,Relaxing one-bedroom 10 minutes from downtown,78741,0,32,1,0,288
11288,Lovely 1-bedroom!,78702,0,1030,1,0,365
11289,"Clean, cozy place of your own | 3BR in Austin",78735,0,218,90,0,365
11290,"Clean, cozy place of your own | 1BR in Austin",78735,0,154,90,0,365
11291,Professionally maintained apt | 1BR in Austin,78702,0,176,30,0,365
11292,Luxury Lakehouse Villa. Hippie Hollow Hideaway. <3,78732,0,800,1,0,80
11293,ATX LIVING TEXAS STYLE,78759,0,91,2,0,171
11294,A place to call home | 1BR in Austin,78746,0,185,31,0,365
11295,A place to call home | 1BR in Austin,78746,0,183,31,0,365
11296,Domain ATX Hidden Gem A,78758,0,137,1,0,321
11297,Cozy 2-bedroom apt home near downtown Austin,78703,0,130,30,0,172
11298,Spacious Condo next to Zilker Park - 9mins to DT,78746,0,93,1,1,364
11299,New renovated apt on Soco Ave | 10 mins from DT,78745,0,104,1,0,364
11300,The Bindel l Domain l 30 nights+,78758,0,94,30,0,364
11301,Exquisite Arboretum Apartment,78759,0,72,1,0,358
11302,The Bindel l Domain l 30 nights +,78758,0,94,30,0,59
11303,The Bindel l Domain l 30 nights +,78758,0,94,30,0,90
11304,The Bindel l Domain l 30 nights +,78758,0,87,30,0,60
11305,Brentwood Gem w/ Expansive Backyard,78756,0,189,2,0,349
11306,COZY CONDO - Downtown/ Airport/ Lady Bird Lake,78741,0,66,1,2,203
11307,The Bindel l Domain l 30 nights +,78758,0,118,30,0,90
11308,The Bindel l East Austin l 30 nights +,78702,0,113,30,0,90
11309,Lovely cozy 1 bed-Apartment,78728,0,65,1,0,41
11310,Landing | Modern Apartment with Amazing Amenities (ID777937),78738,0,105,30,0,328
11311,Cozy private bedroom and bath in beautiful home,78747,1,39,1,1,303
11312,⭐ ⭐ ⭐ ⭐ ⭐ Hollywood Hills in ATX POOL Mins 2 DTWN,78746,0,1123,2,0,356
11313,South Congress Space w/washer+dryer in unit,78704,0,66,7,0,69
11314,Mana,78752,0,72,7,0,272
11315,South Austin Stunner With Space to Relax,78748,0,250,5,0,294
11316,SoCo Charmer w/ Pool & Screened Porch,78704,0,543,2,0,171
11317,Eastside flat w/ free parking & washer/dryer,78702,0,67,7,0,73
11318,SoLa Modern Condo Peaceful and Close to Everything,78704,0,160,3,0,365
11319,Cozy 3 bedroom Cabin on BearCreek near Lake Austin,78732,0,170,30,0,344
11320,"Lovely condo, quiet neighborhood, heart of Austin",78704,0,99,30,0,285
11321,"Lakefront Condo steps from SOCO, Rainy, & Downtown",78704,0,395,2,0,105
11322,Cozy studio less than 5 miles from downtown Austin,78741,0,91,1,0,355
11323,Spacious 1 bedroom 5 miles from downtown Austin,78741,0,114,1,0,351
11324,Luxury Apt In The Heart Of Rainey St With King Bed,78701,0,235,1,1,53
11325,"(C) Cozy Space Near Domain 65"" 4K TV (Netflix)",78759,1,39,1,0,81
11326,Family & Friends in Austin,78759,0,235,2,0,358
11327,Loved in Austin,78759,1,39,2,0,173
11328,Meet Up in Austin,78759,1,39,1,0,358
11329,Peaceful place [2B/2B],78741,0,120,7,0,364
11330,Newly Renovated and Designed King Sized Studio with Sofa and TV,78751,0,70,1,0,349
11331,House of Red ❤️,78758,0,110,1,0,348
11332,"Unique,Sassy,Cozy 1BDR-Yet Affordable ! Austin,TX",78704,0,115,3,0,345
11333,"Spacious, 1 bedroom townhouse close to downtown",78753,0,20,1,0,105
11334,Amazing luxury home sorrounded by beautiful oaks,78739,0,425,7,0,71
11335,Scenic Hillside Southwest Austin 1 Bedroom,78735,0,115,1,0,157
11336,Upscale apartment home | 1 BR in Austin,78758,0,159,90,0,365
11337,Rainey St Oasis to maximize your ATX experience,78701,0,78,7,0,63
11338,Professionally maintained apt | 1BR in Austin,78702,0,169,30,0,365
11339,★Cozy 2BR Apt| Near DT | The Domain | UT Austin,78753,0,91,5,0,364
11340,Private Guest Suite with privacy & full amenities,78748,0,141,3,0,350
11341,★Spacious 2BR Apt| Near DT |The Domain| UT Austin,78753,0,114,5,0,361
11342,"(D) Cozy Space Near Domain 65"" 4K TV (Netflix)",78759,1,39,1,0,363
11343,"2 Queen Beds Near Domain 70"" 4K TV (Netflix)",78759,1,61,1,0,274
11344,"Cozy Space w/65"" 4K TV (Netflix) 1B",78753,1,40,1,0,252
11345,"Cozy Space w/ 65"" 4K TV (Netflix) 1A",78753,1,40,1,0,54
11346,Stay at grand vila Austin 4BD BDR,78735,0,400,8,0,364
11347,A place to call home | 1BR in Austin,78746,0,185,31,0,365
11348,All-inclusive apartment home | 1BR in Austin,78758,0,196,31,0,365
11349,All-inclusive apartment home | 1BR in Austin,78758,0,194,31,0,365
11350,Cozy 1-bedroom cottage with pool and nearby lake,78732,0,96,1,0,364
11351,Fun 4: Big 4 Bedroom close to downtown w/Pool,78705,0,215,2,0,186
11352,Lovely 2BR | Apartment | Heart of Austin,78741,0,133,2,0,85
11353,Live + Work + Stay + Easy | 1BR in Austin,78701,0,192,30,0,365
11354,Stay in a place of your own | 1BR in Austin,78745,0,148,30,0,365
11355,"Austin Haven, whlchair accessible, 5mins fr airpt",78741,0,85,2,0,173
11356,Condo on Rainey with a rooftop gym and pool.,78701,0,220,1,0,270
11357,Luxury Apartment in Domain with Arcade B-ball!,78758,0,82,1,0,340
11358,TINY HOME ON WHEELS LUXURY SKOOLIE CAMPERVAN BUS,78704,0,180,2,0,365
11359,Sparkling France Private Room in Upscale Area,78759,1,64,1,0,355
11360,Landing | Modern Apartment with Amazing Amenities (ID369161),78741,0,74,30,0,313
11361,Landing | Modern Apartment with Amazing Amenities (ID442276),78704,0,82,30,0,321
11362,Sweet Bungalow | Waffles | Modern Vintage Vibe,78702,0,256,1,0,89
11363,"1 bedroom in central Austin, Clarksville.",78703,0,137,2,0,170
11364,"Luxury | Brand New! | Downtown Austin, TX",78701,0,270,2,0,128
11365,Delightful one bedroom RV w/ free parking,78734,0,71,1,0,365
11366,Luxury Apartment/1b1b/DT View/Zilker walking dist,78704,0,165,1,0,365
11367,"Super close to the airport, downtown & parks.",78741,0,96,30,0,90
11368,Piñon Vista home,78724,0,66,1,0,365
